CALL #(Item)	TITLE	BARCODE		
001.96 N	Newton's apple and other myths about science / edited by Ronald L. Numbers and Kostas Kampourakis.	31182033737445		
001.96 T	"Counterknowledge : how we surrendered to conspiracy theories, quack medicine, bogus science and fake history / Damian Thompson."	31182018277136		
002.075 B	Among the gently mad : perspectives and strategies for the book-hunter in the twenty-first century / Nicholas A. Basbanes.	31182015474371		
002.075 L	Outwitting history : the amazing adventures of a man who rescued a million Yiddish books / by Aaron Lansky.	31182016235656		
002.09 H	The book : a cover-to-cover exploration of the most powerful object of our time / Keith Houston.	31182034120831		
003.54 T	The black swan : the impact of the highly improbable / Nassim Nicholas Taleb.	31182017688812		
004 C	Computing : a concise history / Paul E. Ceruzzi.	31182019480002		
004 M	Absolute beginner's guide to computer basics / Michael Miller.	31182018675917		
004 P	Pogue's basics : essential tips and shortcuts (that no one bothers to tell you) for simplifying the technology in your life / David Pogue.	31182021151435		
004 P	Data science for dummies / by Lillian Pierson   foreword by Jake Porway.	31182033454280		
004 R	Core memory : a visual survey of vintage computers featuring machines from the computer history museum / photographs by Mark Richards   text by John Alderman   foreword by John Toole.	31182017730655		
004.03 D	A dictionary of computing.	31182019150761		
004.068 G	"Who says elephants can't dance? : inside IBM's historic turnaround / Louis V. Gerstner, Jr."	31182015500183		
004.084 P	Computing for seniors : for the over 50s / Sue Price.	31182020122015		
004.084 W	Digital literacy for dummies / by Faithe Wempen.	31182021139885		
004.09 D	Turing's cathedral : the origins of the digital universe / George Dyson.	31182019337418		
004.092 E	Broad band : the untold story of the women who made the Internet / Claire L. Evans.	31182034445261		
004.092 I	"The innovators : how a group of hackers, geniuses, and geeks created the digital revolution / Walter Isaacson."	31182021111140		
004.16 B	iPad for dummies / by Edward C. Baig and Bob  Dr. Mac  LeVitus.	31182033601104		
004.16 G	Laptops for dummies / by Dan Gookin.	31182018997303		
004.16 G	PCs for dummies / by Dan Gookin.	31182033759696		
004.16 K	The complete idiot's guide to computer basics / by Joe Kraynak.	31182018489541		
004.16 M	What the dormouse said-- : how the sixties counterculture shaped the personal computer industry / John Markoff.	31182016558701		
004.16 M	Computers for seniors for dummies / by Nancy Muir.	31182018862986		
004.16 M	"Laptops for seniors for dummies / Nancy Muir, Brad Williams, David Damstra   [edited by] Laura."	31182019885283		
004.16 M	PCs simplified / by Elaine Marmel.	31182020186325		
004.16 M	Fixing your computer : absolute beginner's guide / Paul McFedries.	31182020842497		
004.16 M	Computer basics : absolute beginner's guide : Windows® 10 / Michael Miller.	31182033720912		
004.16 M	IPhone for seniors for dummies.	31182033885764		
004.16 M	Laptops for seniors / by Nancy C. Muir.	31182034383033		
004.16 R	My iPad / Gary Rosenzweig.	31182020007356		
004.16 S	Sams teach yourself iPad in 10 minutes / Bud E. Smith.	31182020007976		
004.16 S	The PC and gadget help desk : in depth / Mark Edward Soper.	31182021128631		
004.16 S	Laptops all-in-one for dummies / by Corey Sandler.	31182021814651		
004.16 V	Laptops in easy steps : covers Windows 7 / Nick Vandome.	31182019147403		
004.160 M	Laptops & Tablets for Seniors for Dummies / Nancy Muir.	31182019165868		
004.160 V	Laptops for seniors / Nick Vandome.	31182019794659		
004.165 B	iPad Mini for dummies / by Edward C. Baig and Bob  Dr. Mac  LeVitus.	31182020933197		
004.165 C	My Kindle Fire / Jim Cheshire.	31182019304731		
004.165 C	MacBook for dummies.	31182021109755		
004.165 C	Investing in your 20s & 30s for dummies / by Eric Tyson.	31182034712678		
004.165 G	Android tablets for dummies® / by Dan Gookin.	31182021023147		
004.165 H	HTML5 game development for dummies / by Andy Harris.	31182020455746		
004.165 H	Teach yourself visually MacBook Air / by Guy Hart-Davis.	31182020876503		
004.165 H	Macs all-in-one for dummies / by Joe Hutsko and Barbara Boyd.	31182020983457		
004.165 K	"Android tablets made simple / For Motorola XOOM, Samsung Galaxy Tab, Asus, Toshiba and Other Tablets Marziah Karch."	31182019410603		
004.165 M	Easy computer basics : Windows 7 edition / Michael Miller.	31182018807759		
004.165 R	"Switching to a mac for dummies / Arnold Reinhold, Rick Roe, Matthew Orlando   [edited by] Laura."	31182018808708		
004.165 R	My iPad / Gary Rosenzweig.	31182020613609		
004.165 R	My iMac : mavericks edition / John Ray.	31182020894746		
004.165 V	Mac computing for seniors in easy steps / Updated to Cover MAC OS X Lion Nick Vandome.	31182019422962		
004.165 V	Android tablets in easy steps : covers Android 4.2 / Nick Vandome.	31182020511613		
004.165 W	Teach yourself visually iPad / by Lonzell Watson.	31182019970028		
004.167 B	iPhone 4S for dummies / Edward C. Baig and Bob LeVitus.	31182019239283		
004.167 B	iPad : the missing manual / J.D. Biersdorfer.	31182019434959		
004.167 B	iPad : the missing manual / J.D. Biersdorfer.	31182020900253		
004.167 B	iPhone for dummies / by Edward C. Baig and Bob LeVitus.	31182021145932		
004.167 B	"IPhone for dummies / by Edward C. Baig, USA Today Personal Tech columnist and Bob LeVitus, Houston Chronicle  Dr. Mac  columnist."	31182033981233		
004.167 C	My Kindle Fire HD / Jim Cheshire   Jennifer Kettell.	31182019766749		
004.167 G	Samsung Galaxy Note for dummies / by Dan Gookin.	31182019590040		
004.167 G	Ipad at work for dummies / by Galen Gruman.	31182033442855		
004.167 G	Android tablets for dummies / by Dan Gookin.	31182033608208		
004.167 G	Android phones for dummies / Dan Gookin.	31182033966168		
004.167 H	Teach yourself visually Samsung Galaxy S5 / Gary Hart-Davis.	31182021110100		
004.167 H	Teach yourself visually Android phones and tablets / by Guy Hart-Davis.	31182033466151		
004.167 I	iPad® with iOS 8 for seniors : learn to work with the iPad with iOS 8.	31182021133441		
004.167 J	"My Samsung Galaxy Note 3 / Craig James Johnston, Guy Hart-Davis."	31182020949946		
004.167 J	My Android Tablet / Craig James Johnston.	31182033441949		
004.167 J	"My Samsung Galaxy Note 4 / Craig James Johnston, Guy Hart-Davis."	31182033659516		
004.167 K	The NOOK book : an unofficial guide / Patrick Kanouse.	31182019362713		
004.167 M	iPhone 5 for seniors / Nancy C. Muir.	31182019605947		
004.167 M	Kindle Fire HD : the missing manual / Peter Meyers.	31182019767457		
004.167 M	Kindle Fire HDX for dummies / by Nancy Muir.	31182020874532		
004.167 M	Teach yourself visually Fire tablets / Elaine Marmel.	31182021148472		
004.167 M	IPad for seniors for dummies / by Nancy C. Muir.	31182033590661		
004.167 P	iPhone in easy steps / Drew Provan.	31182019916500		
004.167 P	iPhone : the missing manual / [David Pogue].	31182020935358		
004.167 P	iPhone : the missing manual / David Pogue.	31182033577783		
004.167 P	IPhone : the missing manual / by David Pogue.	31182033601278		
004.167 R	"My iPad for seniors / Gary Rosenzweig, Gary Jones."	31182020851605		
004.167 R	Your iPad at work / Jason R. Rich.	31182020911524		
004.167 S	My Samsung Galaxy S III / Steve Schwartz.	31182019604478		
004.167 S	My Samsung Galaxy S 4 / Steve Schwartz.	31182020899398		
004.167 S	iPhone for seniors / by Dwight Spivey.	31182034404532		
004.167 V	iPad for seniors in easy steps / Covers iOS 6 Nick Vandome.	31182019713428		
004.167 V	Android tablets for seniors : covers Android 4.2 / Nick Vandome.	31182020527122		
004.167 V	Kindle Fire HDX in easy steps / Nick Vandome.	31182021018774		
004.167 V	Android tablets for seniors in easy steps / Nick Vandome.	31182033506469		
004.167 V	iPhone for seniors in easy steps : for all iPhones with iOS 13 / Nick Vandome.	31182035336907		
004.167 W	Teach yourself visually the new iPad / Lonzell Watson.	31182019528875		
004.36 O	"The essential client/server survival guide / Robert Orfali, Dan Harkey, Jeri Edwards."	31182013838239		
004.6 H	Networking : a beginner's guide / Bruce Hallberg.	31182019886679		
004.6 S	Networking bible / Barrie Sosinsky.	31182018808724		
004.607 M	"Mike Meyers' CompTIA network+ guide to managing and troubleshooting networks lab manual : (exam N10-006) / Mike Meyers, Jonathan S. Weissman."	31182033539726		
004.65 L	Networking all-in-one for dummies / by Doug Lowe.	31182033901652		
004.67 H	Where wizards stay up late : the origins of the Internet / Katie Hafner and Matthew Lyon.	31182013698021		
004.67 M	Computers for seniors for dummies / by Nancy Muir.	31182034712793		
004.678 C	"Handcrafted CSS : more bulletproof Web design / Dan Cederholm, with Ethan Marcotte."	31182018778406		
004.678 C	"Growing up social : raising relational kids in a screen-driven world / Gary Chapman, Arlene Pellicane."	31182021133771		
004.678 D	"Reset your child's brain : a four-week plan to end meltdowns, raise grades, and boost social skills by reversing the effects of electronic screen-time / Victoria L. Dunckley, MD."	31182033685826		
004.678 L	The Internet for dummies.	31182033442970		
004.678 M	Protecting your children online : what you need to know about online threats to your children / Kimberly Ann McCabe.	31182034362623		
004.678 M	How the Internet happened : from Netscape to the iPhone / Brian McCullough.	31182034629617		
004.678 N	From Gutenberg to Zuckerberg : disruptive innovation in the age of the Internet / John Naughton.	31182020900485		
004.678 R	The Internet and email for the over 50s / Bob Reeves.	31182021809610		
004.68 B	"Picture yourself networking your home or small office : step-by-step instruction for designing, installing, and managing a wired or wireless computer network / Dennis C. Brewer."	31182018424092		
004.68 L	Home networking : the missing manual / Scott Lowe.	31182016878661		
004.68 M	Wireless networking : absolute beginner's guide / Michael Miller.	31182019766475		
004.68 M	My smart home for seniors / Michael Miller   AARP   Pearson Education.	31182034314343		
004.68 P	Home networking bible / Sue Plumley.	31182016108994		
004.68 P	PC networking for your small business / Anthony Price.	31182017835033		
004.682 W	Microsoft SharePoint / by Rosemarie Withee and Ken Withee.	31182034874379		
004.692 M	Sams teach yourself Gmail in 10 minutes / Michael Miller.	31182021130447		
005 D	"Distinctive design : a practical guide to a useful, beautiful web / Alexander Dawson."	31182020749114		
005 G	Windows Xp Hacks / Preston Gralla.	31182016785791		
005 G	"Head first mobile web / Lyza Danger Gardner, Jason Grigsby."	31182019290104		
005 P	"Android programming : the Big Nerd Ranch guide / Bill Phillips, Chris Stewart, Brian Hardy & Kristin Marsicano."	31182033607762		
005.1 A	"Coding all-in-one for dummies / by Nikhil Abraham, Andy Harris, Eva Holland, Joris Meys, Luca Massaron, Chris Minnick, John Paul Mueller, and Andrie de Vries."	31182034240530		
005.1 B	Android application development all-in-one for dummies / by Barry Burd.	31182019532778		
005.1 D	"Beginning Objective-C / James Dovey, Ash Furrow."	31182019635522		
005.1 D	"Sams teach yourself Android application development in 24 hours / Carmen Delessio, Lauren Darcey, Shane Conder."	31182020894704		
005.1 F	Learning to program / Steven Foote.	31182021148498		
005.1 R	Getting started with processing / Casey Reas and Ben Fry.	31182033745513		
005.1 S	"Building iPhone apps with HTML, CSS, and JavaScript / by Jonathan Stark."	31182019527992		
005.1 S	"Building Android apps with HTML, CSS, and JavaScript / Jonathan Stark   with Brian Jepson."	31182019528206		
005.1 T	Beginning programming / by Matt Telles.	31182021110084		
005.1 W	Coding for parents / Frazer Wilson.	31182034324474		
005.109 T	Coders : the making of a new tribe and the remaking of the world / Clive Thompson.	31182034764190		
005.109 U	Life in code : a personal history of technology / Ellen Ullman.	31182034324540		
005.117 F	The Rails 5 way / Obie Fernandez   foreword by Giles Bowkett.	31182034651843		
005.13 B	Beginning programming with Java / by Barry Burd.	31182034321165		
005.13 L	C++ programming for the absolute beginner / Mark Lee.	31182018665520		
005.133 B	"Beginning programming with Java for dummies / by Barry Burd, author of Java for dummies."	31182021023139		
005.133 B	Java programming for Android developers for dummies / by Barry Burd.	31182033957019		
005.133 C	Sams teach yourself Python in 24 hours / Katie Cunningham.	31182020894696		
005.133 C	"Sams teach yourself C++ in 24 hours / Rogers Cadenhead, Jesse Liberty."	31182034121292		
005.133 D	Python / Toby Donaldson.	31182018426063		
005.133 F	"Computer science programming basics in Ruby / by Ophir Frieder, Gideon Frieder, David Grossman."	31182020468590		
005.133 G	Beginning programming with C for dummies / by Dan Gookin.	31182020900139		
005.133 K	Discovering SQL : a hands-on guide for beginners / Alex Kriegel.	31182020691340		
005.133 L	Java for dummies quick reference / Quick Reference by Doug Lowe.	31182019528990		
005.133 M	Beginning programming with Python for dummies / by John Paul Mueller.	31182021109722		
005.133 M	"C# 7.0 All-in-One / by John Paul Mueller, Bill Sempf, and Chuck Sphar."	31182034464205		
005.133 M	C programming in easy steps / Mike McGrath.	31182034823301		
005.133 P	Learn Java the easy way : a hands-on introduction to programming / by Bryson Payne.	31182034392133		
005.133 P	C programming : absolute beginner's guide / Greg Perry and Dean Miller.	31182020553078		
005.133 R	Sams teach yourself C++ in one hour a day / Siddhartha Rao.	31182019767515		
005.133 R	"Learn to program with Minecraft : treasure, traps, games, and more with Python / by Craig Richardson."	31182033577775		
005.133 S	Java. The Complete Reference The complete reference / Herbert Schildt.	31182034374909		
005.25 D	"Sam's Teach Yourself Android application development in 24 hours / Carmen Delessio, Lauren Darcey, Shane Conder."	31182033483701		
005.25 M	Building Android apps in easy steps / Mike McGrath.	31182033622522		
005.26 B	"Hello, Android : introducing Google's mobile development platform / Ed Burnette."	31182020877576		
005.268 E	Google on the go : using an Android-powered mobile phone / John Eddy and Patricia DiGiacomo Eddy.	31182018501063		
005.268 N	Arduino for dummies / by John Nussey.	31182034657014		
005.275 L	Java all-in-one for dummies / by Doug Lowe.	31182034241256		
005.276 B	Android application development for dummies / by Michael Burton.	31182033443093		
005.276 F	JavaScript : the definitive guide / David Flanagan.	31182020779657		
005.276 F	Visual Basic 2015 in 24 hours / James Foxall.	31182033483693		
005.276 L	Java all-in-one for dummies / by Doug Lowe.	31182020961966		
005.276 P	Learning JavaScript / Shelley Powers.	31182018430388		
005.276 P	JavaScript : a beginner's guide / John Pollock.	31182020899497		
005.276 S	JavaScript step by step / Steve Suehring.	31182020499561		
005.276 S	Java : the complete reference / Herbert Schildt.	31182020966486		
005.276 W	"PHP and MySQL web development / Luke Welling, Laura Thomson."	31182033965400		
005.3 G	Google Apps deciphered : compute in the cloud to streamline your desktop / Scott Granneman.	31182018425446		
005.3 J	"Crafting digital media : Audacity, Blender, Drupal, GIMP, Scribus, and other open source tools / Daniel James."	31182018914019		
005.3 K	Don't spend a dime : the path to low-cost computing / James Floyd Kelly.	31182018515683		
005.36 B	QuickBooks 2011 : the missing manual / Bonnie Biafore.	31182020129069		
005.36 M	Quickbooks online for dummies / by Elaine Marmel.	31182033783001		
005.36 N	QuickBooks 2018 for dummies / by Stephen L. Nelson.	31182034383041		
005.36 S	Quicken 2017 : the official guide / Bobbi Sandberg.	31182034207323		
005.362 N	QuickBooks 2017 all-in-one for dummies / by Stephen L. Nelson.	31182033989087		
005.365 M	Beginning Android / Mark L. Murphy.	31182019887388		
005.368 M	My Office for iPad / Paul McFedries.	31182021111132		
005.369 C	Microsoft Office Excel 2010 quicksteps / John Cronan.	31182019881456		
005.369 L	"Microsoft Office 2019 : step by step / Joan Lambert, Curtis Frye."	31182034723378		
005.369 M	Advanced spreadsheet projects in Excel / Julian Mott & Ian Rendell.	31182018517085		
005.369 M	Teach yourself visually complete Microsoft Excel 2013 / by Paul McFedries.	31182020530563		
005.4 K	Windows 7 annoyances / David A. Karp.	31182021809602		
005.4 K	"Windows 10 in depth / Brian Knittel, Paul McFedries."	31182033733972		
005.4 M	"Operating systems demystified / Ann McIver McHoes, Joli Ballew."	31182019228849		
005.4 M	Teach yourself visually Windows 10 : [the fast and easy way to learn] / Paul McFedries.	31182033509018		
005.4 P	Windows 10 : the missing manual® / David Pogue.	31182033728576		
005.4 R	Windows 10 at work For Dummies / by Ciprian Adrian Rusen.	31182033745620		
005.4 W	Windows 10 for seniors for the beginning computer user : get started with Windows 10 / Visual Steps.	31182033733469		
005.4 W	Windows 10 for seniors : get started with Windows 10.	31182033733733		
005.43 J	"Citrix XenDesktop implementation : a practical guide for IT professionals / Gareth R. James   Kenneth Majors, technical editor."	31182020707278		
005.43 M	My Google Chromebook / Michael Miller.	31182020899372		
005.43 W WINDOWS	"MCSE networking essentials study guide : (exam 70-58) / [editorial management] Syngress Media, Inc."	31182015116295		
005.43 W WINDOWS	Visual Studio 6 : the complete reference / John Paul Mueller.	31182015393639		
005.432 H	"The official Ubuntu book / Benjamin Mako Hill, Matthew Helmke, Corey Burger   with Ivan Krstić ... [et al.]."	31182019084895		
005.432 H	Ubuntu unleashed : covering 13.10 and 14.04 / Matthew Helmke   with Andrew Hudson and Paul Hudson.	31182020866124		
005.432 N	Ubuntu Linux toolbox : 1000+ commands for power users / by Christopher Negus.	31182020553276		
005.432 R	"The official Ubuntu server book / Kyle Rankin, Benjamin Mako Hill."	31182020553094		
005.432 S	"A practical guide to Linux commands, editors, and shell programming / Mark G. Sobell."	31182019589786		
005.434 M	JavaScript for absolute beginners / Terry McNavage.	31182020663869		
005.437 S	"Designing web interfaces : principles and patterns for rich interactions / by Bill Scott, Theresa Neil."	31182018446228		
005.446 B	Windows 7--no problem! / Joli Ballew.	31182019911667		
005.446 B	"Office 2011 for Mac all-in-one for dummies / by Geetesh Bajaj, James Gordon."	31182020265509		
005.446 K	"Windows 8.1 in depth / Brian Knittel, Paul McFedries."	31182020967237		
005.446 L	Windows 8 all-in-one for dummies / by Woody Leonhard.	31182019581700		
005.446 L	"Windows 10 step by step / Joan Lambert, Steve Lambert."	31182033761916		
005.446 L	Windows 10 all-in-one for dummies / by Woody Leonhard.	31182033968362		
005.446 L	Windows 10 all-in-one  / by Woody Leonhard.	31182034651579		
005.446 M	Windows 7 simplified / by Paul McFedries.	31182018895390		
005.446 M	Windows 10 plain & simple / Nancy Muir Boysen.	31182033530121		
005.446 P	Windows 7 : the missing manual / David Pogue.	31182019094977		
005.446 P	Windows 8.1 : the missing manual / David Pogue.	31182020618566		
005.446 P	Windows 8.1 / Michael Price & Stuart Yarnold.	31182021123814		
005.446 P	Switching to the Mac / David Pogue.	31182033438937		
005.446 P	"Windows 10 for seniors in easy steps : for PCs, laptops and touch devices / Michael Price."	31182034690643		
005.446 R	Windows 8 for dummies / by Andy Rathbone.	31182019559474		
005.446 R	"Microsoft Windows 8.1 step by step / Ciprian Adrian Rusen, Joli Ballew."	31182020901046		
005.446 W	Windows 10 for seniors for dummies / by Peter Weverka.	31182034139724		
005.446 Y	"You and your Windows 10 computer : everything you need to know about your computer, Internet, digital photos and more."	31182021026124		
005.447 S	Learn Active Directory management in a month of lunches / Richard Siddaway.	31182033466193		
005.447 W	Exam ref 70-742 identity with Windows Server 2016 / Andrew Warren.	31182034712918		
005.457 M	"Windows server 2016 unleashed / Rand Morimoto, Ph.D., MCITP, MVP,CISSP, Jeffrey Shapiro, MCSE, MCT, Guy Yardeni, MCITP, CISSIP, MVP, Omar Droubi, MCTS, Michael Noel, MVP, Andrew Abbate, MCITP, Chris Amaris, MCITP, MCTS, CISSP."	31182034349497		
005.5 B	Master visually Microsoft Office 2007 / Tom Bunzel.	31182017837021		
005.5 B	Easy Microsoft Office 2010 / Tom Bunzel.	31182019951044		
005.5 C	Beginning OpenOffice 3.0 : from novice to professional / Andy Channelle.	31182018430123		
005.5 C	"Office 2013 : the missing manual / Nancy Conner, Matthew MacDonald."	31182020899745		
005.5 G	"Office VBA macros you can use today : over 100 amazing ways to automate Word, Excel, PowerPoint, Outlook, and Access / Juan Pablo González ... [et al.]."	31182017007682		
005.5 I 2019	Microsoft Office 2019 inside out / Joe Habraken.	31182034825009		
005.5 K	Excel 2010 just the steps for dummies / by Diane Koers.	31182019148476		
005.5 L	PowerPoint 2016 for dummies / by Doug Lowe.	31182033754655		
005.5 M	Teach yourself visually Office 2013 : the fast and easy way to learn / Elaine Marmel.	31182020454384		
005.5 M	"Microsoft Office home and student 2013 step by step / Beth Melton, Mark Dodge, Echo Swinford, Ben M. Shorr."	31182020912563		
005.5 M	Office 2016 simplified / by Elaine Marmel.	31182033737478		
005.5 M	Teach yourself visually Office 2016  / Elaine Marmel.	31182033739862		
005.5 P	Microsoft Office Outlook 2007 step by step / Joan Preppernau and Joyce Cox.	31182017533869		
005.5 P	Office 2016 in easy steps / Michael Price & Mike McGrath.	31182033836973		
005.5 R	"Office 2013 all-in-one : absolute beginner's guide / Patrice-Anne Rutledge, et al."	31182020842513		
005.5 R	"My google apps / Patrice-Anne Rutledge, Sherry Kinkoph Gunter."	31182033669002		
005.5 T	iWork : the missing manual / Jessica Thornsby & Josh Clark.	31182020976295		
005.5 W	Microsoft Office 2016 at work for dummies / by Faithe Wempen.	31182033530089		
005.5 W	Office 2016 for dummies / by Wallace Wang.	31182033740316		
005.5 W	Office 2019 for dummies / by Wallace Wang.	31182034636521		
005.52 G	Word 2007 : the missing manual / Chris Grover.	31182018501543		
005.52 G	Word 2013 for dummies / by Dan Gookin.	31182020454111		
005.52 L	Microsoft Word 2010 for dummies elearning kit / by Lois Lowe.	31182019595395		
005.54 A	Easy Microsoft Excel 2010 / by Michael Alexander.	31182019956092		
005.54 A	My Excel 2013 / Michael Alexander.	31182020901095		
005.54 A	101 ready-to-use Excel formulas / by Michael Alexander and Dick Kusleika.	31182021110092		
005.54 A	Excel Power Pivot & Power Query for dummies / by Michael Alexander.	31182033828293		
005.54 B	The IT girl's guide to becoming an Excel diva / by Ani Babaian.	31182018278571		
005.54 B	"Excel tables : a complete guide for creating, using and automating lists and tables / by Zack Barresse and Kevin Jones."	31182021069470		
005.54 B	Excel formulas & functions for dummies / by Ken Bluttman.	31182033573998		
005.54 H	"Excel 2016 for dummies : A Wiley Brand / by Greg Harvey, PhD."	31182033530766		
005.54 H	"Excel 2016 for dummies : A Wiley Brand / by Greg Harvey, PhD."	31182033546028		
005.54 M	Head First Excel / Michael Milton.	31182019885374		
005.54 M	Excel 2016 formulas and functions / Paul McFedries.	31182033728592		
005.54 M	Excel 2016 / by Paul McFedries.	31182033754762		
005.54 P	Excel 2007 macros made easy / Gail Perry.	31182018424001		
005.54 P	Excel 2010 in Easy Steps	31182020058029		
005.54 P	Excel 2016 : in easy steps / Michael Price & Mike McGrath.	31182033815167		
005.54 S	Excel 2013 : absolute beginner's guide / Tracy Syrstad.	31182020894845		
005.54 W	"101 Excel 2013 tips, tricks and timesavers / by John Walkenbach."	31182020511530		
005.54 W	"Your Excel survival kit : a guide to surviving and thriving in an Excel world / by Anne Walsh, MCT."	31182034089242		
005.57 L	Microsoft Outlook 2016 : step by step / Joan Lambert.	31182033787788		
005.58 R	Presentation zen design : simple design principles and techniques to enhance your presentations / Garr Reynolds.	31182018974161		
005.58 W	Teach yourself visually PowerPoint 2013 / by William Wood.	31182020454376		
005.712 M	Java in easy steps / Mike McGrath.	31182019216679		
005.712 M	Scratch programming in easy steps / Sean McManus.	31182020611553		
005.713 A	"Active Directory  / Brian Desmond, Joe Richards, Robbie Allen, and Alistair G. Lowe-Norris."	31182033491522		
005.726 S	How to do everything. Adobe Acrobat X / Doug Sahlin.	31182020691498		
005.74 R	"Advanced database projects in Access / by Ian Rendell, Julian Mott."	31182018496405		
005.74 W	Hadoop : the definitive guide / Tom White.	31182020877196		
005.756 A	"Access 2013 bible / by Michael Alexander, Dick Kusleika."	31182020464946		
005.756 D	The relational database dictionary / C.J. Date.	31182018248640		
005.756 S	Hands-on Microsoft Access : a practical guide to improving your Access skills / Bob Schneider.	31182016837709		
